date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:41	80908/80908	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Regular%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Regular%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:41	53260/53260	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:42	75460/75460	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:42	57076/57076	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold%20Italic.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold%20Italic.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:42	80792/80792	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Bold%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:42	53220/53220	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:42	75128/75128	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:43	56840/56840	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light%20Italic.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light%20Italic.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:43	80764/80764	---MCZ	200	added ('OK')	application/font-woff	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light%20Italic.woff	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Light%20Italic.woff	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
09:14:43	46896/46896	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2003%20Feb%202023%2017:31:26%20GMT	https://portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black.woff2	C:/My%20Web%20Sites/weekend/portfolio-lbtvgll.format.com/fonts/ProximaNovaCondensed/Proxima%20Nova%20Condensed%20Black.woff2	(from https://portfolio-lbtvgll.format.com/static/theme_api/v1/hosted_fonts-d5ec48dda39ec1dad115aee68d1d6c3460ffc8c8697f01060d36750496a3192f.css)
